iter	Logloss
0	0.6604144479
1	0.6309507586
2	0.6021805572
3	0.5767762911
4	0.5539292488
5	0.5324396897
6	0.5127126028
7	0.4951639782
8	0.4803686922
9	0.46614303
10	0.4520269269
11	0.4398050097
12	0.4291502289
13	0.4194142966
14	0.4095614812
15	0.4004697173
16	0.3925669291
17	0.3853604707
18	0.3787304266
19	0.3726294563
20	0.3661462098
21	0.3601022034
22	0.3545669779
23	0.3496185737
24	0.3451945194
25	0.3418799841
26	0.3376663302
27	0.3343443752
28	0.3318610725
29	0.3281063386
30	0.3248148929
31	0.3223574636
32	0.3199634842
33	0.3171189256
34	0.314603845
35	0.3123906373
36	0.3100404515
37	0.3082501429
38	0.3067670098
39	0.3050660511
40	0.3025955722
41	0.3004040542
42	0.2981357271
43	0.2964391675
44	0.2948745424
45	0.2935588713
46	0.2921520727
47	0.2911065885
48	0.2899269162
49	0.2890376153
50	0.2872331261
51	0.2861978804
52	0.2853631133
53	0.2841325925
54	0.2823260802
55	0.2813807235
56	0.2805513938
57	0.2793643877
58	0.2779842637
59	0.2769640838
60	0.2763514866
61	0.2753395168
62	0.2745043243
63	0.2738757115
64	0.2731170165
65	0.2724928821
66	0.2719253594
67	0.2708903782
68	0.2701785252
69	0.2696500932
70	0.2689933788
71	0.2685230243
72	0.2678059789
73	0.2674626523
74	0.2663393458
75	0.2659826249
76	0.2655737738
77	0.2652019549
78	0.2646303256
79	0.2640069921
80	0.2633757424
81	0.2630467909
82	0.262407286
83	0.2620417821
84	0.2615165152
85	0.2610833875
86	0.2606153197
87	0.2602049199
88	0.2592140402
89	0.2586293851
90	0.2580556141
91	0.2577668469
92	0.257004781
93	0.2564721676
94	0.2559634635
95	0.2557389551
96	0.2554226426
97	0.2548785041
98	0.2542492819
99	0.2537428599
100	0.2529055307
101	0.2525539736
102	0.2521768014
103	0.2515410119
104	0.2511766016
105	0.2506301246
106	0.2502183851
107	0.249943956
108	0.2496749219
109	0.2491376601
110	0.2488470882
111	0.248290277
112	0.2479694334
113	0.2476211342
114	0.2469830001
115	0.2465447605
116	0.2461784547
117	0.2458004884
118	0.2452166773
119	0.244760058
120	0.2444668662
121	0.2441682417
122	0.2439160313
123	0.2433768056
124	0.2430854735
125	0.2428331647
126	0.2427405451
127	0.2423796928
128	0.2420393145
129	0.2417257333
130	0.2414793177
131	0.2410969346
132	0.2408263092
133	0.2406176193
134	0.2404288687
135	0.2401663157
136	0.2398406974
137	0.2396698826
138	0.2393359851
139	0.2391000432
140	0.2387989584
141	0.2384919886
142	0.2381681502
143	0.2379708291
144	0.2376715763
145	0.2374366137
146	0.2371750982
147	0.2369374906
148	0.2366990476
149	0.2365028193
150	0.2362746432
151	0.2360777153
152	0.2358726038
153	0.235506777
154	0.2351963368
155	0.2350541862
156	0.234833552
157	0.2344869037
158	0.2343322659
159	0.2340557754
160	0.2334739138
161	0.2332105958
162	0.2329422552
163	0.2325757644
164	0.2323432188
165	0.2320114921
166	0.2317052121
167	0.2313903588
168	0.2312409168
169	0.2310103103
170	0.230865584
171	0.2306858859
172	0.230300676
173	0.2301256395
174	0.2299202027
175	0.2296674016
176	0.2292284282
177	0.2288698191
178	0.2287198546
179	0.2285522419
180	0.2282520089
181	0.2280904274
182	0.2278011735
183	0.2275683703
184	0.2273424748
185	0.2271672511
186	0.2268683403
187	0.2266331671
188	0.2263536819
189	0.2261231948
190	0.2259064119
191	0.2254438849
192	0.225318984
193	0.2249864951
194	0.2247541178
195	0.2245688099
196	0.2241380036
197	0.2239180281
198	0.2236918789
199	0.2236263169
200	0.2233534843
201	0.2231080736
202	0.222802539
203	0.2226080885
204	0.2224670591
205	0.2221576973
206	0.2220411257
207	0.2218866076
208	0.2215857728
209	0.2214606116
210	0.2213144799
211	0.220987307
212	0.220716143
213	0.2204946275
214	0.2203970742
215	0.2200307418
216	0.2198849524
217	0.2196788954
218	0.2193413504
219	0.219268496
220	0.2190424457
221	0.2187680687
222	0.2185611566
223	0.2184212402
224	0.218270481
225	0.2179774454
226	0.2176600642
227	0.2175289326
228	0.2171972357
229	0.2170117428
230	0.2166426247
231	0.2164316802
232	0.2163368392
233	0.216203646
234	0.216076439
235	0.21598805
236	0.2156366303
237	0.2153461362
238	0.2152600592
239	0.2149836018
240	0.2148715727
241	0.2147579059
242	0.2146018119
243	0.2144413972
244	0.2142283178
245	0.2141269067
246	0.213998262
247	0.2138826732
248	0.2137415088
249	0.213454754
250	0.213276279
251	0.2131269883
252	0.2128861433
253	0.2127293103
254	0.2126008061
255	0.2121945597
256	0.2120223067
257	0.21186219
258	0.211638
259	0.2113008261
260	0.2111041056
261	0.2109373781
262	0.2107837981
263	0.2105032032
264	0.2102334414
265	0.2100221394
266	0.209844092
267	0.2096858921
268	0.2095400706
269	0.2094287909
270	0.2091843143
271	0.2090147917
272	0.2089233778
273	0.2087782248
274	0.2086891689
275	0.2084244338
276	0.2083513421
277	0.2081707829
278	0.2080130793
279	0.2079215035
280	0.2076775609
281	0.2073893872
282	0.2072362577
283	0.2071000606
284	0.2070607126
285	0.2069167227
286	0.2068082524
287	0.2066724551
288	0.2064760671
289	0.2062844741
290	0.2061534002
291	0.205935118
292	0.2058454991
293	0.2057089843
294	0.205468236
295	0.2053912029
296	0.2052901769
297	0.2050996456
298	0.2048761202
299	0.204766179
300	0.2045187194
301	0.2043177692
302	0.204182147
303	0.2040520158
304	0.2039101162
305	0.2037488601
306	0.2036315402
307	0.2035343548
308	0.2033073344
309	0.2031604068
310	0.2030221414
311	0.2028682384
312	0.202675629
313	0.202432418
314	0.2022496352
315	0.202105365
316	0.2019518898
317	0.2017691123
318	0.2016033707
319	0.2013720662
320	0.201182667
321	0.201038374
