iter	Passed	Remaining
0	62	62227
1	66	33036
2	69	23072
3	72	18094
4	76	15124
5	79	13177
6	82	11763
7	86	10699
8	89	9855
9	92	9193
10	97	8772
11	101	8365
12	105	8036
13	111	7819
14	115	7563
15	119	7331
16	123	7136
17	129	7061
18	135	6988
19	139	6838
20	144	6717
21	148	6586
22	152	6468
23	156	6375
24	161	6306
25	165	6185
26	168	6088
27	173	6011
28	177	5946
29	181	5859
30	184	5775
31	188	5707
32	193	5658
33	196	5592
34	199	5509
35	202	5430
36	206	5366
37	210	5320
38	213	5264
39	216	5203
40	220	5158
41	224	5110
42	227	5067
43	230	5011
44	233	4957
45	236	4905
46	239	4862
47	242	4817
48	246	4775
49	248	4729
50	251	4687
51	255	4652
52	258	4618
53	262	4591
54	265	4560
55	268	4522
56	271	4494
57	274	4460
58	277	4426
59	280	4399
60	283	4365
61	286	4338
62	289	4309
63	292	4283
64	296	4263
65	299	4242
66	302	4217
67	305	4191
68	308	4165
69	311	4141
70	314	4121
71	318	4101
72	321	4086
73	324	4065
74	328	4049
75	331	4027
76	334	4011
77	338	3996
78	341	3977
79	344	3959
80	347	3938
81	350	3918
82	353	3900
83	356	3884
84	359	3872
85	362	3857
86	366	3841
87	369	3826
88	372	3811
89	375	3796
90	378	3784
91	382	3776
92	386	3769
93	389	3757
94	393	3749
95	397	3740
96	401	3733
97	404	3721
98	407	3709
99	410	3698
100	414	3686
101	417	3673
102	420	3662
103	423	3649
104	426	3638
105	430	3631
106	433	3620
107	437	3610
108	440	3599
109	443	3589
110	447	3580
111	450	3568
112	453	3556
113	455	3543
114	459	3533
115	462	3525
116	465	3514
117	468	3503
118	472	3496
119	475	3488
120	478	3478
121	481	3465
122	484	3455
123	487	3446
124	491	3439
125	494	3431
126	497	3423
127	501	3415
128	505	3409
129	508	3403
130	512	3396
131	515	3389
132	518	3383
133	522	3377
134	526	3370
135	529	3365
136	533	3359
137	536	3353
138	541	3352
139	545	3349
140	549	3346
141	552	3341
142	556	3336
143	560	3329
144	563	3322
145	567	3318
146	570	3312
147	574	3305
148	577	3297
149	580	3291
150	584	3286
151	588	3282
152	591	3276
153	594	3267
154	598	3260
155	601	3254
156	605	3249
157	608	3242
158	611	3235
159	615	3230
160	619	3226
161	623	3223
162	627	3223
163	632	3226
164	637	3227
165	642	3227
166	646	3226
167	651	3224
168	654	3219
169	658	3217
170	662	3211
171	666	3208
172	670	3206
173	674	3201
174	678	3197
175	682	3193
176	686	3191
177	690	3188
178	695	3188
179	699	3187
180	704	3185
181	708	3182
182	712	3178
183	715	3174
184	719	3171
185	723	3168
186	728	3165
187	734	3172
188	739	3172
189	743	3168
190	747	3167
191	752	3167
192	756	3164
193	761	3164
194	766	3162
195	770	3160
196	774	3157
197	779	3155
198	783	3154
199	787	3148
200	790	3141
201	793	3135
202	797	3131
203	800	3124
204	804	3118
205	807	3111
206	810	3104
207	813	3099
208	817	3093
209	820	3087
210	823	3080
211	827	3076
212	831	3072
213	834	3066
214	838	3060
215	841	3054
216	845	3049
217	849	3046
218	852	3041
219	855	3034
220	859	3029
221	863	3025
222	866	3020
223	870	3015
224	873	3009
225	877	3005
226	881	3001
227	885	2997
228	889	2993
229	893	2990
230	897	2987
231	901	2982
232	905	2980
233	909	2976
234	913	2972
235	917	2969
236	920	2965
237	924	2961
238	928	2957
239	932	2953
240	936	2949
241	940	2945
242	944	2941
243	948	2937
244	951	2933
245	955	2928
246	959	2925
247	963	2921
248	967	2917
249	971	2914
250	975	2910
251	978	2905
252	982	2901
253	986	2898
254	990	2894
255	994	2890
256	998	2886
257	1002	2882
258	1006	2878
259	1009	2874
260	1013	2870
261	1016	2864
262	1020	2859
263	1024	2855
264	1027	2850
265	1031	2845
266	1034	2840
267	1037	2835
268	1041	2831
269	1045	2826
270	1048	2821
271	1052	2817
272	1056	2812
273	1059	2808
274	1063	2803
275	1066	2798
276	1070	2793
277	1073	2787
278	1076	2782
279	1080	2777
280	1084	2773
281	1087	2768
282	1091	2764
283	1094	2759
284	1098	2755
285	1101	2750
286	1105	2745
287	1108	2741
288	1112	2736
289	1116	2732
290	1119	2727
291	1123	2723
292	1126	2718
293	1130	2714
294	1133	2709
295	1137	2705
296	1140	2699
297	1143	2694
298	1147	2690
299	1150	2684
300	1153	2679
301	1157	2674
302	1160	2668
303	1163	2663
304	1166	2658
305	1170	2653
306	1173	2648
307	1176	2644
308	1180	2638
309	1183	2633
310	1186	2628
311	1189	2623
312	1193	2619
313	1197	2615
314	1200	2610
315	1204	2606
316	1207	2601
317	1210	2597
318	1214	2592
319	1217	2588
320	1221	2584
321	1225	2580
322	1230	2579
323	1236	2579
324	1239	2575
325	1243	2571
326	1247	2566
327	1251	2563
328	1264	2579
329	1268	2575
330	1272	2572
331	1276	2569
332	1281	2565
333	1295	2583
334	1301	2582
335	1306	2582
336	1310	2578
337	1318	2581
338	1322	2578
339	1327	2577
340	1331	2574
341	1336	2571
342	1340	2568
343	1344	2564
344	1351	2565
345	1354	2560
346	1358	2557
347	1362	2552
348	1365	2547
349	1369	2543
350	1373	2539
351	1376	2534
352	1379	2529
353	1382	2523
354	1386	2518
355	1390	2514
356	1393	2509
357	1396	2504
358	1400	2500
359	1404	2496
360	1407	2492
361	1411	2487
362	1414	2482
363	1417	2477
364	1421	2473
365	1424	2468
366	1427	2462
367	1430	2457
368	1434	2452
369	1437	2447
370	1440	2442
371	1443	2437
372	1447	2432
373	1450	2427
374	1453	2422
375	1456	2417
376	1460	2412
377	1463	2407
378	1466	2402
379	1469	2397
380	1472	2392
381	1475	2387
382	1478	2382
383	1481	2377
384	1485	2372
385	1488	2367
386	1491	2362
387	1494	2357
388	1497	2352
389	1500	2347
390	1503	2342
391	1507	2337
392	1510	2333
393	1513	2328
394	1517	2323
395	1520	2319
396	1524	2314
397	1527	2310
398	1530	2305
399	1533	2300
400	1536	2295
401	1540	2290
402	1543	2285
403	1546	2281
404	1549	2276
405	1552	2271
406	1555	2266
407	1559	2262
408	1562	2257
409	1565	2252
410	1568	2247
411	1571	2242
412	1575	2238
413	1578	2233
414	1581	2229
415	1584	2224
416	1587	2219
417	1590	2214
418	1594	2210
419	1597	2206
420	1600	2201
421	1603	2196
422	1607	2192
423	1610	2187
424	1613	2183
425	1616	2178
426	1619	2173
427	1623	2169
428	1626	2164
429	1629	2160
430	1633	2155
431	1636	2151
432	1639	2146
433	1642	2142
434	1645	2137
435	1648	2132
436	1652	2128
437	1655	2124
438	1659	2120
439	1662	2115
440	1665	2111
441	1668	2106
442	1672	2102
443	1675	2098
444	1678	2093
445	1681	2088
446	1684	2084
447	1688	2080
448	1691	2075
449	1694	2071
450	1697	2066
451	1701	2062
452	1704	2058
453	1707	2053
454	1710	2049
455	1713	2044
456	1716	2040
457	1720	2036
458	1723	2031
459	1727	2027
460	1730	2023
461	1733	2018
462	1737	2015
463	1741	2011
464	1744	2007
465	1748	2003
466	1751	1999
467	1755	1996
468	1759	1992
469	1762	1987
470	1766	1983
471	1769	1979
472	1772	1974
473	1775	1970
474	1778	1965
475	1781	1961
476	1784	1956
